game_date,season,promo_name,promo_category,promo_audience,sponsor,is_fireworks,is_giveaway,is_theme_night,is_weekly_promo,is_group_sales,is_community,is_appearance,is_jersey_auction,source_name
2023-05-23,2023,Para-Cycling World Cup Ceremony,ceremony,General / sports fans,,0,0,0,0,0,1,0,0,MiLB 2023 Promotional Schedule
2023-05-24,2023,Ryan Klesko Appearance and Autograph Signing,appearance,General / baseball fans,,0,0,0,0,0,0,1,0,MiLB 2023 Promotional Schedule
2023-05-25,2023,National Wine Day,theme_night,Adults 21+,,0,0,1,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-25,2023,Silicone Wine Glass Giveaway,giveaway,Adults 18+,,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-26,2023,Princess Night,theme_night,Kids / families,,0,0,1,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-26,2023,Little Mermaid Appearance,appearance,Kids / families,,0,0,0,0,0,0,1,0,MiLB 2023 Promotional Schedule
2023-05-26,2023,Friday Night Fireworks,fireworks,General,,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-27,2023,Saturday Night Fireworks,fireworks,General,,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-28,2023,Memorial Day Celebration,theme_night,Military / families,,0,0,1,0,0,1,0,0,MiLB 2023 Promotional Schedule
2023-05-28,2023,Postgame Fireworks,fireworks,General,,1,0,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-28,2023,Toiletries Drive,community_drive,Community,,0,0,0,0,0,1,0,0,MiLB 2023 Promotional Schedule
